id,title,artists,album,album_id,year,genre,duration_ms,added_at,available,content_warning
25713230,Ультиматум,Соль земли,Ультиматум,3040301,2012,rusrap,312110,2024-03-13T11:02:33+00:00,True,
38633712,Группа крови,КИНО,Легенда,5307396,2018,rusrock,235100,2024-03-12T18:36:19+00:00,True,
104583065,Грязная работа,РИЧ,Грязная работа,22526502,2022,rusrap,141390,2024-03-12T17:14:17+00:00,True,
35779020,С менталитетом меченосца,Соль земли,О лютой ненависти и святой любви,27331447,2017,rap,309390,2024-03-11T15:38:24+00:00,True,
34159817,На твoей земле,Соль земли,О лютой ненависти и святой любви,27331447,2017,rap,402380,2024-03-11T15:14:44+00:00,True,explicit
72476954,Пока не выключат свет,"Саграда, Ант",ВСПОМНИТЬ ВСЁ. Часть 4 (1). Ковры,12470844,2019,rusrap,240680,2024-03-07T16:53:57+00:00,True,explicit
25972288,"Живым (В городе, где нет метро)",25/17,"Живым (В городе, где нет метро)",3069575,2015,rusrap,248310,2024-03-05T06:22:14+00:00,True,
81749631,Моя крепость,МАВАШИ group,"Старое, да сызнова",15181436,2021,rusrap,177500,2024-03-03T18:10:49+00:00,True,explicit
77380209,Герилья Гильермо Агилеры,Соль земли,Герилья Гильермо Агилеры,13712864,2021,rusrap,237380,2024-03-03T17:59:49+00:00,True,explicit
43502593,Солдат,Змей,Солдат,5790095,2018,rusrap,248030,2024-03-03T16:03:30+00:00,True,
21522474,In da Club,Josh Vietti,In da Club,2464120,2014,rap,149410,2024-03-01T18:45:59+00:00,True,
112680972,Without Me,Gordon,Without Me,31041593,2024,electronics,189160,2024-02-29T03:40:34+00:00,True,explicit
20045697,Кровь с кислородом,"ГРОТ, Ант",Личная Вселенная,12050407,2010,rusrap,197810,2024-02-28T15:51:29+00:00,True,
120076017,I Want More (Freestyle),NEFFEX,Change: The Collection,28565041,2023,edmgenre,225770,2024-02-26T16:03:08+00:00,True,
